"account","activities","low","calculated","start","end"
"GAR3CQGOH5MHBTZK6BVGBB5QEZXMM5YH7JIYEGS2XEUUY62MSJIKGVGR","0","10200.6538101","10200.6538101","10200.6538101","10200.6538101"
"GDRHVR3J2C5GDYLIP4JIHMTASXQ6NKRK67IYL3SD3H5JZQJNV2LB7V2K","0","10200","10200","10200","10200"
"GD2I2U54PNEZYV7WNVLLXXGVMMD7FIWYJF3ZU2V3K7XAT4QKN7LOWFYY","2","10000","11000","10197.2744807","11000"
"GC6QPAMI6U5YJVACQDW2S3UPB4P7KPLLT63DFCZGYKCH522HSJSX4SIC","0","10185.7793066","10185.7793066","10185.7793066","10185.7793066"
"GBZR7R2ZHNFJR7UGYI2QEAJMWIAEPGQIEH6625HXSKRLPJTLXJPA66ZI","3","10184.8466428","40184.8466428","10184.8466428","39730.510672"
"GCNKIOLQ2DN6B3NQKQHR3KXHGKVRLH2EOHO6ZJUAM657HF3XVSQ6OEBA","0","10184.4747615","10184.4747615","10184.4747615","10184.4747615"
"GDPY35KQXQVXMCZSNGYJBGXRU4NKQLL56JPOAYCCA4RRLX3XHNFE4H6S","1","10154.563862","10777.563862","10154.563862","10777.563862"
"GATFUHDLUFZIICEHN6JGVH4EE6BGQUGB6PRMDNAOGQF2IUJCRHS556OP","0","10152.83","10152.83","10152.83","10152.83"
"GDZLYZ6KEBN7PWAXAMAY6WAE5LHULSRGZ52X6VDW5CQ2ALXXMMY3IFVV","0","10142.8873607","10142.8873607","10142.8873607","10142.8873607"
"GCAIW64U6BBRPAMFIPB64EIJ4W6XHQBQCNIE6WXWCSR4IUY7CSSHZSPG","1","10135.0000007","30135.0000007","10135.0000007","30135.0000007"
"GD6SRXH4BXMW7ANSW3PKXZNORKHRXQIGV7TYNK6DHSDB5ISC3M7FOQUU","0","10130","10130","10130","10130"
"GDTTX5KK5EHIFM6MOIKKVIHHVVXAKFR2QKPWDZHVPWSVCBFFWPBXTMWO","0","10123.6013346","10123.6013346","10123.6013346","10123.6013346"
"GDJJF2EDZQIPOQFEGWTGDXI3AM4DE7STPJHDHNRMRRLTGGIQGMG2EVJ7","0","10119.2978157","10119.2978157","10119.2978157","10119.2978157"
"GALHYFYS2UNY53QRKBCSBTS6MDVO263CC3GFZ3IUTXNXCW6IWOCRZ7I7","0","10111.2808231","10111.2808231","10111.2808231","10111.2808231"
"GAHA3YHHVTFNYGBFUZZYDWQB4MJVUO4WKETHF2OX2TIDMHO6BNJ7TIZW","0","10111","10111","10111","10111"
"GD7Q473VNP6VU3IWSXOHTCUZLS42DY3MDZDL3IVVHV3RPDLOD3VD6QOC","0","10109.5623753","10109.5623753","10109.5623753","10109.5623753"
"GD2EGHAO3MK7GFV6USQP7HTZVCLX246PIZGOC2QJCST5DGMF5LNJJUFD","0","10106.0155377","10106.0155377","10106.0155377","10106.0155377"
"GAQ62UO6D7XUIT5G6PLXAR6ELMILSZIORVVYQGII2YB5Z3I2XL37AIUO","0","10105.8594594","10105.8594594","10105.8594594","10105.8594594"
"GBHMUHSYTAIPHI4B5YZKCW7M77DQQPVL6LPI2VJTIGVG5H3Z5Z3XV677","0","10101.1446475","10101.1446475","10101.1446475","10101.1446475"
"GCXH6K5TVQMRAB5FHNNSB2QUMRIFFAYAUM4QJIMSTTY2LTQMFONQZI4X","1","10101.0201788","11101.0201788","10101.0201788","11101.0201788"
"GA4D22Y53KDQ247PYOSZZZ2ZAYVF4AIBE3SPXTBGCOO7NR5DYTO6YW65","0","10101.0000009","10101.0000009","10101.0000009","10101.0000009"
"GDLCPUA4RFGWCQROTFHBNAK7WFF6HRARSMHYAISD377TOQ7UYMR6WG6Q","0","10101","10101","10101","10101"
"GDBHDIPKXU47PHXZBMHUTMCBDTARVKYKKB6L4YUDAAKPVDLMNABYWKHI","0","10100.9999991","10100.9999991","10100.9999991","10100.9999991"
"GDKNUPWJPHCN53F3CC6DPEZGGWLADS6UPZNVIQZBY3SAS2ZOXT55WXJQ","0","10100","10100","10100","10100"
"GCZDJXVTZGKUFSOL6VNJY562XHQL7S2TVLWWAEDVWBZP7MS4536XUZNH","0","10100","10100","10100","10100"
"GBJ3NZR3RHG2OOJDZ5AMMJCVRLABTEAQIT6TMDE4N2TVGX7W4NPFVFPC","0","10099.999999","10099.999999","10099.999999","10099.999999"
"GBSWWI3LB557BVH4MU7CS6XOP3VRI72F6R57X5PJTAGPI775PQ4FMHDK","0","10099.9999984","10099.9999984","10099.9999984","10099.9999984"
"GDV5ADI24QCQNVZFPC2LGGSMUQJLTEBXZTMU4JN5VFB4VV4IX3OIPR5T","0","10099.7033571","10099.7033571","10099.7033571","10099.7033571"
"GCOAXL3JEK5OHI23XSS22DGCUSKKINQNHGR6HDTB6WS7CUPY2GNGZVWV","0","10099.08","10099.08","10099.08","10099.08"
"GDIPSRNNIULHT6Z2JRXSONG54MS3YFWO3EIPW3PRUTR25CHLPUU7KWLO","0","10094.3460261","10094.3460261","10094.3460261","10094.3460261"
"GAVTHD4NQLIYJE24GXI6U2UNJ2K3IMAKCOIWVFG4Q2SPFCHWF4GD4FID","0","10093.4689406","10093.4689406","10093.4689406","10093.4689406"
"GDZFQXCE5IWJGAYVCOSQSYKEM66JRIWMCUQYMKUYKWDCQVE3HB6EYLP3","0","10092.746478","10092.746478","10092.746478","10092.746478"
"GAA77FZZNNDO3JNRXKJTMTXKHG7MCFD3HQVWU2ZNQ54ILUVYXVO7GSWT","0","10090","10090","10090","10090"
"GDZXQ4SBT6KNSBPHCWSAWLNC6YTVZK4QFZFMJ7VGFZLP4V5FJYGRFFSP","1","10086.9593615","70086.9593615","10086.9593615","70086.9593615"
"GBAWWZWS6CPUZ5346P5UW3IHXL7Y6L76JOXOL7UY3B7T2HKWCDPWZP24","0","10086.8444374","10086.8444374","10086.8444374","10086.8444374"
"GBZTRDZCPDI774LJVT55N76RNOWQCXJ2CPFO52LQHR2HR2XNICR2X4J6","0","10084.9999997","10084.9999997","10084.9999997","10084.9999997"
"GAAG35MAGWK7ZOM2OGQZKIG2GBHPFGW67MXJP6BDYEMX563ZUMFQ4P5O","0","10077.6776468","10077.6776468","10077.6776468","10077.6776468"
"GDMRDQ3OB5GWU3MGO2NZQRX4S2Y77NISZTQQ7FPQ46C2AZFIHBTMJ42C","0","10070","10070","10070","10070"
"GDYMP3PL6I4ZBZUBVBZE6KDJIBF7L5J3Z6UNPBK2RNKYJ65FLJPX3UAZ","0","10069.4168053","10069.4168053","10069.4168053","10069.4168053"
"GDFLGIW6Y6CKVYCROVVCGU6MRF2B7I5WGTMW3PB54X6YZIPOKUTLAGFP","0","10061.18","10061.18","10061.18","10061.18"
"GCVDI7SCIZUZLYH3M2DT3WX24SQKYXH4DCMMOAJ5VTAUR2P56PUDVQGT","0","10051.717275","10051.717275","10051.717275","10051.717275"
"GALHA4OVKNZ555C7VJFIXVXM4F2R7PPJNO7IZHIYE2SMKFYY5U7V254G","0","10050.94","10050.94","10050.94","10050.94"
"GB3N4UTHZW2FCODCYVQZBGJQRJHJYY3E6L6D4KADMSR76E7BAR7IYIP2","0","10050.7245904","10050.7245904","10050.7245904","10050.7245904"
"GC6FP524VFYCOPFXAIW2LRXHTZHIH5HKZYJWCY2BI5NOBWANDLXHELLO","0","10048.8127099","10048.8127099","10048.8127099","10048.8127099"
"GCXBYTOXOOSRXRHHGM2PCMGWRRJ5N7QZOGUTGSQG4KJZ2SA2CFTBPSVA","1","10048.50432","10548.50432","10048.50432","10548.50432"
"GCMIF6JIQQDA5PQ3VFED3PMRG6WNGV6KCHKCQC67UAORGNKKIFXMMES2","0","10045.0468539","10045.0468539","10045.0468539","10045.0468539"
"GADOZJ4BRD53VPHLGHRQIVF5RRZ2BNAA6DTDYJZSMXH3G2ULTPIJULVD","0","10041.2401731","10041.2401731","10041.2401731","10041.2401731"
"GAVFABXVQBDRQNZ4MWEITGCZV6DAVWKBRBGNST54J3XVJFBZCOM53KAA","0","10038.7590386","10038.7590386","10038.7590386","10038.7590386"
"GAZ6ODHP4LYXD2XP2F2QUHX4XACVSMQH5UE56GHKBEBQM5QHKVT42FY2","0","10034.46","10034.46","10034.46","10034.46"
"GDO7WBGZVYQJU2PK27VLMSYHSP44CGLOUIZA6MAXOIQMY62UIBGW3DVK","0","10033.5204102","10033.5204102","10033.5204102","10033.5204102"
"GDI65M3MFMGLWN7SMMRDVAFP3TQSBPIR7GYANFC4LHT2ACZQTLW7CFKR","0","10032.5937739","10032.5937739","10032.5937739","10032.5937739"
"GALOAIIJ4HYQTUBQB6W6ZNPMXNZ27RKRJN65Z2OIWGXWMVSJ42EZ3JXX","0","10030.0140155","10030.0140155","10030.0140155","10030.0140155"
"GC243FNBYGJ3CG57TJB2LJBQJ5DLBLCEOSXF7LXGRBV22FKP357HWFTE","0","10029.23","10029.23","10029.23","10029.23"
"GBKJOZLBPT22BI6PRO2XY5GZ3V2FSEPN7OV4FCF643Z4NFOMKQMQQ4N5","1","10025.4499923","10266.636547","10025.4499923","10266.636547"
"GCR4RR2XLIVT43QR37KWZW6SLO43NV5WASYU7UDAVGMU4LMBQNBMJKJ2","0","10024.706114","10024.706114","10024.706114","10024.706114"
"GBWE4VHN2NRZJPNEON4FZGE6734MAFIEDQEKXKHDSQ2EZ5GFD7PLCIRK","0","10022.07952","10022.07952","10022.07952","10022.07952"
"GDN3Q4JUBAR53GXFZ4RYDXBASPH37Q24QV2X6M4YMLSVGH2UPP7FUQZE","0","10021.41","10021.41","10021.41","10021.41"
"GBTFTPBJRX7UU3PMYSGCD6G35TV4STECTYOWIPX3MNSVOY3IZKJUVSTC","0","10021.3800018","10021.3800018","10021.3800018","10021.3800018"
"GCBV362WIPX3EUHT4JTF24TTDI34I4BSJHAW2QKXNU2EYOQLQV2PAC7C","2","10020.9978368","10533.8791328","10020.9978368","10533.8791328"
"GCTPLCSOKHJ5PLX7TSZWOPATSJLWTNN3UWZVLAAZKJPTC7VI6BFYEHHM","0","10020.7551057","10020.7551057","10020.7551057","10020.7551057"
"GBOLYUMAGUJVSN2DSWJYAKCUSWCJYM7I6HYOPQF5KOHNG5YQG7UVDV4Q","0","10020.5192618","10020.5192618","10020.5192618","10020.5192618"
"GCYX3VP4NYRGS7RGAP2VCUI2KITRYRERYFH53IWEQGKNQ5UB7OEH2AXF","0","10020.2590892","10020.2590892","10020.2590892","10020.2590892"
"GDY3KSBWFHLKDCH6NHUZCS6A2JSSXDNPK54LWSIDWJREYHYFT5NI3A27","0","10020.0511072","10020.0511072","10020.0511072","10020.0511072"
"GCTIEAEVRUPJBLXCQOQYBXWYWXGKT4H3MKZQVTIERFFUGEMUW5MFHSD2","0","10020","10020","10020","10020"
"GB6VUIOEH6CGY7JEKPYK3UPOTEIDCVBASLBPRN5BYC3V5N5MHX6UNOQC","1","10016.5799072","10516.5799072","10016.5799072","10516.5799072"
"GCZ5MTVTQTMYU3RQQCUT2DQ3QNMSNVGWP2YZHIJRERFEQLQA33YKBB64","2","10015.8637","10923.5691317","10015.8637","10923.5691317"
"GDYE3DMQZ4FMWAFVI2IMVUEKMVEDE6W3CWQVPRQD33G6C2IVF4WVJA7X","0","10013.45","10013.45","10013.45","10013.45"
"GCCRZ3IAZBMFNCK5TPIJQ2TKFOQM35TZ5FOA45ZDDEDQO5LKHQHBAG56","0","10013.0502772","10013.0502772","10013.0502772","10013.0502772"
"GA2D3WNHI5274YBOLA7OPOLCYEIDYJI3COBAPIIZM3WAIW3EZ4N7OV46","1","10012.6779766","10020.6304347","10012.6779766","10020.6304347"
"GAATOD3UKJ4MDV2FWKOIA7Z2CDDK2KZX32GCFOOC4CLMAGUDSWGZT7EI","0","10011.8426658","10011.8426658","10011.8426658","10011.8426658"
"GB33KFOU4ITGXT2RMX55OCLMJHDS7VY2H6SPY4SK36TMAHYIKSAG2G42","0","10010.703817","10010.703817","10010.703817","10010.703817"
"GCM4ZZM5GWW6YB7EIW5UTUYWAGZJ32VBVMHFN5UAW4TB5XQGL6QSQ6FF","0","10010","10010","10010","10010"
"GBBK4SNDBJOFPQCRFDGPYXU67IFHNC7OUCFQBCFRVJ4FWR5D2JZRAZKE","0","10010","10010","10010","10010"
"GAIDS2O2L5LFAIOI7JYKQQBMDPXF63FVSUK52DZWB5YK2H7V3HMRKMNA","0","10010","10010","10010","10010"
"GBR7XZ7XFNY34WSPYTOAPLXTYV7J2GGI3KN5CA5PNOBCVMD2QCYCPCLF","0","10010","10010","10010","10010"
"GC5BIFUM7CDJYNIRLEKGOMBH62TNZVECKIUNXKKLWOJPB3ZPEANDLPIR","2","10007.6799979","10007.6799979","10007.6799979","10007.6799979"
"GCWFLXNWMBRYFIAB4M5OACZEYT4HSQCOVSG5XKFRVDUOCWOMH6PGQUPH","0","10006.4892018","10006.4892018","10006.4892018","10006.4892018"
"GDJSGSCENG6KWF3TP64KHQM3ZR5TRL3U5L4AMNWGV5X4UP5BMFYQZ4QG","0","10006.32","10006.32","10006.32","10006.32"
"GCE33B7SHA73NWGCJ7TUYC2RVBOSKPNTVYHIHX6SL7676KMQCNTFBHSW","0","10004.7405622","10004.7405622","10004.7405622","10004.7405622"
"GA7MERVHZ7AWASFEEZMCNFBXJB6YPE2F7N55PGOMFIWFFRLQCC6H2D4K","0","10004.48","10004.48","10004.48","10004.48"
"GDGR3PQXULUY5ZDC4GEJMLQZU7ZVSLFEWZBGSYJOVVHERWJ6ICOPG75H","0","10003.0403525","10003.0403525","10003.0403525","10003.0403525"
"GCRXHEJCLQAFSVLORGVWVKM5IUIX4PSJTQWPQ5L7OAYFBUP6NLFFILIP","0","10003","10003","10003","10003"
"GBJMHB7HQWA2CAEUHAFWFRMD2PJXZ5AIYNFMFF23OVS4DEFERLRZ5YPY","0","10002.24","10002.24","10002.24","10002.24"
"GBHAVE3UZIMBHC2WAEPSFPI4AY5PWE2YHSQLDVTXL7ZXMFCI5N42PZFQ","0","10002.0553256","10002.0553256","10002.0553256","10002.0553256"
"GCP6RUL3UO5LIAGJWE732WRI4HPQS7VJH4G42WAX5ZZARJ3GOVP2KCTD","0","10002","10002","10002","10002"
"GBFA5ZXUVHSFAU6GVE5ULSPVYDSYVT3K3POQWY5JSEHR76WZQEQMN4JV","0","10001.9999997","10001.9999997","10001.9999997","10001.9999997"
"GC3BHVPGLXGTEQOGRMKCOXFTTLSZLIE2KUU6SQXA7AKC73JRRAI4QQDH","0","10001.5453226","10001.5453226","10001.5453226","10001.5453226"
"GAVM246J7R32P42BRMUQYAA6R4PKYKOZJVRONFDZZAESFECXT7GE62OB","0","10001.5041577","10001.5041577","10001.5041577","10001.5041577"
"GBLBA55NMCZ3KYHMSBGFHWXWXYKOOWRGCABXQT2UPBBZP77U35P2756D","0","10001.4334916","10001.4334916","10001.4334916","10001.4334916"
"GCZOU3GET4HQKP3TMPYSJEFKMD4V2LRIITX4U3R7TDD7FCUZXUEF7XXL","0","10001.2703324","10001.2703324","10001.2703324","10001.2703324"
"GBFNL4XSTGW4MMRYDDLQ6ANYH2LQBUGUEXR6SBTWBJRU7HY3VRHQ4OAZ","0","10001.2407077","10001.2407077","10001.2407077","10001.2407077"
"GDJISTJVAUXSIU66MZ6TXTDFBF3S4H5TLLMLNPQJ5NWKBA5TIDRUZ6UP","0","10001.0000013","10001.0000013","10001.0000013","10001.0000013"
"GA6HTCKSQUGTQMR3SAVSDGXLXWWLZCRWU4Z7JNFLN2E3T636W7DUFBVL","0","10001","10001","10001","10001"
"GDB62QHG62AKDP27YV7CABRD7LV2SQACF4RZXB54FSSRLEFA6O7LFNZK","0","10001","10001","10001","10001"
"GDM6C2AWOWGA53G4SOXMJAVMGNBOOLKXB4MDYQB3HG4RVRYFWIGAD25V","0","10001","10001","10001","10001"
"GAN34WXDXEN2OAXF3ZGZSKXVCFRV5R4S53PKBH6O7JZKKLAAFRR2ZXME","0","10001","10001","10001","10001"
"GAQUKAQBVSUJYKFUPLFE4PLQKEUIUFHSHJTZXR75JJTY3MBEWOOPA3VH","0","10001","10001","10001","10001"
"GCT4UMDIIBY5B66P7YGR3L4KVFUE3RVWFVKWFH7KKGVJJ2GLEISOVFMZ","0","10001","10001","10001","10001"
"GCD4X2B32ODS3DIBA5FXGOOK6QADM7U6FMRULQYIKLTAFSM2OSXJOPMY","0","10001","10001","10001","10001"
"GDO6IU33MS4JM6UG42RQTMNBHPPZFWMY4X55NEZP5UQ5GWWQ5OYUNRVO","0","10001","10001","10001","10001"
"GBAX35UVF5PYXMF57FXUOP3T2AUIKLYD4MRPLMFUJHCASGCKVTE3FDLI","0","10001","10001","10001","10001"
"GBZKQVFZ4JQETZQLN2XFWFWR4ZMWMTVPUP5OTS2HHM2QHSDSIA66ZJQK","0","10001","10001","10001","10001"
"GBOE53IGSYLNZYQNXH5GP63QKKTCWM73BKBI7AUGKOYIGGHVKERGLRJT","0","10001","10001","10001","10001"
"GAPUEWHCZTNBKK442V735Q6GXGTCBWCAOITDXLADQCMH3P4O7DRSKQ2C","0","10001","10001","10001","10001"
"GCYJ23QBLK5O3ISFHKB7Q4K2SLIJMV6R2XJGN6IEURKXTVBOJ3T7232X","1","10001","10002","10001","10002"
"GA6YBVJKE4ZU465OUPGNZASAKU5NSJDLLY6KKHNGIQFXV67IPZNPIEBR","0","10001","10001","10001","10001"
"GDMGXHTMJM7YERZ4N6V7MFZ4X3NB264MSDEBM6CB4OSRZJ4ZLFZN7S5R","0","10000.9999992","10000.9999992","10000.9999992","102637.2341706"
"GATTOAYTOBV7PS23GUWG4Y6GXFGPBTMV3Q6F4YJH477FIAOLXMEUSGFS","1","10000.9999972","11000.9999972","10000.9999972","11000.9999972"
"GDWY2RABEZL35OE7GNDS67ILGXAGDXYPBYY5UAJHTM7CSMPDN7DQ6EJK","0","10000.7600021","10000.7600021","10000.7600021","10000.7600021"
"GBHQKSA3CFXOQ5ZXMKYLQQBRE6GKCLL4F4TU6LG4NIZQMNTBQ2RJCQ6Z","0","10000.3210248","10000.3210248","10000.3210248","10000.3210248"
"GA7IQXM7NVWUBEVPOVWVJDO5H25FHOLXBUI3IXKRJ6SH42LIOMTDDGWB","0","10000.0524177","10000.0524177","10000.0524177","10000.0524177"
"GCQZLRU6FA7YFBOAM7NHIAT2DKCAAWYGHMNFTC6CHFLBGOUZL4LIT6AP","0","10000.0000045","10000.0000045","10000.0000045","10000.0000045"
"GDKEXMCPYWYSFWRM4LOOK6PRALFCCN6XOFW2WQQ6TWM6MV6R4CPM6R6Z","0","10000.0000028","10000.0000028","10000.0000028","10000.0000028"
"GC4UCWDXT63KOMYGJTXIKB7OZDFE4PFJWV5C7IF7DVSJH6WWEMIIQPUS","0","10000.0000018","10000.0000018","10000.0000018","10000.0000018"
"GBZBMCEQVB63L54QFU2K57EN7IAKJBY3E2LKZ4I2YTRZV7P5EPFJNMML","0","10000","10000","10000","10000"
"GCMEZ27AQRQWG2QVKDJ2CMQA76CN3DZI6GUUDJ7ZHLILKVC4KTC7ZYA3","0","10000","10000","10000","10000"
"GC6PBYINNJ3YWACEZWZ44XZWNXM7SKAL3ULRNTW6IKOTYALRRHYGND4Z","0","10000","10000","10000","10000"
"GANOQO57PPPBV3S3MN2VVGUMBJNIDVDF3JFUH2LUQWBXLUT7FSMLOUW2","0","10000","10000","10000","10000"
"GAMV3OZYA757NFHXAVZKMRXBW37P5LC5E7DGCULKU42YTUCSTLWHULHF","0","10000","10000","10000","10000"
"GBLOTFHKYPPUYA4OCAJ432NXVPOSIMFUTJISEKM6EAOTOWJFMMVARCH2","0","10000","10000","10000","10000"
"GBEYG53S4QH23VBTQA7NMUSOYZ3LITDWMLZ4WUBZ2FVFFAB4LYXS7Y4V","0","10000","10000","10000","10000"
"GCOL7DWFCSGC3SI7VEYQ33KO523NTDH7BAJMYUUPBGKDPJIXXRVEB5VV","0","10000","10000","10000","10000"
"GBUA26I57KSJFYWQN6ZTXI5A3IPRXYPBOY2WW377CXAVNO56DESHENXX","0","10000","10000","10000","10000"
"GDABKPMNNIGN7KH2GYQW4KLT3NUOA2ROJDX6OCPXTCX5M755J47OLY3A","0","10000","10000","10000","10000"
"GASSUWN5JMLVAU36XXMNOUYRQJAQAHTLYSOF72PI3NY547AGJTTTCXGU","0","10000","10000","10000","10000"
"GCSJIU3ILXFRIE2YAEQEJM47W7PVWWYXESBAFOCRVWU4QUPCPKUCYUI5","0","10000","10000","10000","10000"
"GB7SCCRURM56LRHOK2GQY3TUVFLY5ZPAOLTPIF4VN4PSEFCHYRHWHFF7","0","10000","10000","10000","10000"
"GCRZOYCGQEVELISPOMMG2KYF3CJJWWLQJNZ6TGHRX2KRTKCWNCNIUSDT","0","10000","10000","10000","10000"
"GCPPUNKTGT6C5W64YTRJOLCXKWWN37KXGOC5Z7JYGAKIQRPMTJVDMARI","0","10000","10000","10000","10000"
"GBCKKM7METZOYLI3WCIHROOGZNZGNUXOOCYOVVLUNNNSBI6SXRP5HPX5","0","10000","10000","10000","10000"
"GAM7WBUFD56NCXN4PGWIMRPJPF56PKBXRFRBSBQ6HTPLVCQSYXCRZE4N","0","10000","10000","10000","10000"
"GAJOCBA6OVBKTLFF3DDW5P5BZKH5SVSK22XVFUZK2HOIIQHDX7AJ6B4C","1","10000","20000","10000","20000"
"GDNICT5A6U6OHM263B6YDY6BQCBPWA7UV5Z5MGFW2RQIRXBQKD3RUV7S","0","10000","10000","10000","10000"
"GDPOVMDIOBTERD4OCMEZUIXL3G4D526TD5JEPC2T5YP73EXBEJEGGMVE","0","10000","10000","10000","10000"
"GBR775KWTXI7YSM5VC77OV3YDNYD4TI5BDZ2L5IP3WSZBENKKIC3OIHM","1","10000","10500","10000","10500"
"GAHOT2ORNGWHZYAI7TCNVNYTKNZ6BPNNASHBWF4SV7PWBWWQPGV5TODY","0","10000","10000","10000","10000"
"GAEPKFZ2PHSYO47JKNP7EZJ32LJJRMUZDR3RSDWNTXUJO4YTKQPBLFE3","0","10000","10000","10000","10000"
"GANELZNCDKJFKF6KXEFGWYQLBP3XAQXLL6JVFBY5MFBXL7BXQ2GMOH5P","0","10000","10000","10000","10000"
"GCKSTCVNDW42ILDUMDMROYTPO6DSWNQAXQRDEGURDB32MDFCOZK3RADT","0","10000","10000","10000","10000"
"GBA35BAMDEIE54ZNZOYXNWZGH7A4UYOAGQ6YY2PLZILHE2IIUYAMVLPF","0","10000","10000","10000","10000"
"GCKZJ7VUXXHVPLFBTS5Z4T7RI2PXJO5NOBLJBKNSC57T5HKRLXN4KW3X","0","10000","10000","10000","10000"
